               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11827,            0.038679,                   0,           0.0046667,                0.25,           0.0040532,          0.00085979,            0.081547,            0.022553,                   0,              0.0892,              0.0012,              0.0012
                   1,            0.099035,            0.041682,                   0,           0.0033333,                 0.5,           0.0095984,           0.0023659,            0.065579,            0.018985,                   0,            0.077475,           0.0024753,           0.0024753
                   2,            0.082292,            0.043737,                   0,             0.14266,             0.22601,             0.14908,            0.050027,            0.033702,            0.016991,                   0,            0.065725,           0.0037248,           0.0037248
                   3,            0.068753,            0.042052,                   0,             0.47196,             0.32143,             0.32976,             0.14488,            0.030685,             0.01601,                   0,            0.053949,           0.0049485,           0.0049485
                   4,             0.06519,            0.039015,                   0,             0.18263,             0.32143,              0.1303,             0.03253,            0.039448,            0.012724,                   0,            0.042147,           0.0061466,           0.0061466
                   5,            0.063933,             0.03748,                   0,             0.36351,             0.35714,             0.35918,             0.13232,            0.035721,            0.013708,                   0,            0.030319,           0.0073188,           0.0073188
                   6,            0.061587,            0.036274,                   0,             0.46474,             0.32143,             0.33115,             0.15389,            0.037673,            0.013174,                   0,            0.018465,           0.0084654,           0.0084654
                   7,            0.059286,            0.035705,                   0,             0.34396,             0.32143,             0.28735,            0.075154,            0.032365,            0.010655,                   0,            0.009307,            0.009307,            0.009307
                   8,             0.05486,             0.03297,                   0,             0.37004,             0.60714,             0.47742,             0.15752,            0.040927,           0.0085701,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.058282,            0.032598,                   0,             0.79689,             0.70096,             0.77147,             0.28295,            0.025869,           0.0079193,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.049309,            0.029755,                   0,             0.60845,             0.66625,              0.6261,             0.20016,             0.03106,           0.0077202,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.049654,            0.028336,                   0,             0.43055,             0.78571,             0.47363,              0.2565,            0.046393,           0.0081048,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.049791,            0.030531,                   0,             0.83256,             0.67857,             0.76972,             0.23983,            0.025765,           0.0063967,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.044394,            0.026969,                   0,               0.684,              0.9277,             0.77547,             0.48151,            0.027924,           0.0069137,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.043921,            0.027951,                   0,             0.86765,             0.85714,             0.84692,             0.30055,            0.027614,           0.0060545,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.044189,            0.025503,                   0,             0.98783,             0.85714,             0.96247,             0.54237,            0.022908,           0.0054086,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.042595,            0.025648,                   0,             0.69184,             0.82143,             0.70126,             0.33174,            0.028239,           0.0056957,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.039828,            0.025903,                   0,             0.91947,             0.78571,             0.87347,             0.68102,             0.01882,           0.0056623,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.037655,            0.027926,                   0,             0.92471,             0.78571,             0.92429,             0.51884,            0.019189,           0.0062222,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.039014,            0.025392,                   0,             0.88656,             0.83768,             0.92731,             0.52524,            0.019768,           0.0063869,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.038922,            0.024036,                   0,             0.89663,             0.92857,             0.98206,             0.68631,            0.016894,           0.0048341,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.037314,            0.025306,                   0,             0.96211,             0.90729,             0.94796,             0.57583,            0.023765,            0.004522,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.038719,            0.025467,                   0,             0.96952,             0.89286,             0.93369,             0.55888,            0.022461,           0.0045753,                   0,            0.007921,            0.007921,            0.007921
